Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur (US $)","22008","Produit Intérieur Brut","2013","2013","millions","21610.365221","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","202","Afrique du Sud","6110","Valeur (US $)","22008","Produit Intérieur Brut","2013","2013","millions","366644.89306","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","3","Albanie","6110","Valeur (US $)","22008","Produit Intérieur Brut","2013","2013","millions","12776.280738","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","4","Algérie","6110","Valeur (US $)","22008","Produit Intérieur Brut","2013","2013","millions","209755.00325","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","79","Allemagne","6110","Valeur (US $)","22008","Produit Intérieur Brut","2013","2013","millions","3752513.5033","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","6","Andorre","6110","Valeur (US $)","22008","Produit Intérieur Brut","2013","2013","millions","3281.763085","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","7","Angola","6110","Valeur (US $)","22008","Produit Intérieur Brut","2013","2013","millions","136709.8919","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","258","Anguilla","6110","Valeur (US $)","22008","Produit Intérieur Brut","2013","2013","millions","281.800591","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","8","Antigua-et-Barbuda","6110","Valeur (US $)","22008","Produit Intérieur Brut","2013","2013","millions","1192.919619","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","194","Arabie saoudite","6110","Valeur (US $)","22008","Produit Intérieur Brut","2013","2013","millions","746647.12741","X","Sources internationales sûres","Data from UNSD AMA"
